fieldUri|geometry|canalUri|cropUri|farmerUri|cropLabel
http://swamp-project.org/cbec/field_17553|{"type":"MultiPolygon","coordinates":[[[[10.7667834635584,44.8132522780167],[10.7673457246521,44.8130219655392],[10.7667948719805,44.812169369739],[10.766609515976,44.8122165598042],[10.7662009298911,44.811653021226],[10.7656083353981,44.8117634935749],[10.7657641016863,44.812495569824],[10.7663723564638,44.8126064662104],[10.7667834635584,44.8132522780167]]]]}|http://swamp-project.org/cbec/canal_A4005|http://swamp-project.org/cbec/crop_11|http://swamp-project.org/cbec/farmer_21403|COCOMERAIA-MELONAIA
http://swamp-project.org/cbec/field_25907|{"type":"MultiPolygon","coordinates":[[[[10.5847869261455,44.8137905965278],[10.5848317088947,44.8138124399333],[10.5848317088947,44.8138124399333],[10.5858396875682,44.8135108969043],[10.5860168184886,44.8137555506397],[10.5863920734297,44.8136290282217],[10.5855913155057,44.8122787775945],[10.5852155752643,44.8123873322421],[10.5850649202546,44.8121872394878],[10.5850248488952,44.8121069221003],[10.5849294685441,44.8120812880124],[10.5847046641407,44.8121697742378],[10.5843575951101,44.8117118133184],[10.5843991788025,44.8116168839192],[10.5847291507942,44.8114505583806],[10.5847176755791,44.8112620126353],[10.5839911951174,44.8114697822698],[10.5841502441458,44.8117461406121],[10.5849457585833,44.8131369110191],[10.5844764742566,44.8132871982031],[10.5847869261455,44.8137905965278]]]]}|http://swamp-project.org/cbec/canal_BBE397|http://swamp-project.org/cbec/crop_49|http://swamp-project.org/cbec/farmer_91018883|PRATO STABILE
http://swamp-project.org/cbec/field_33777|{"type":"MultiPolygon","coordinates":[[[[10.4648635373243,44.6625496409964],[10.4664829803439,44.6622044439315],[10.4665694292282,44.6628483173055],[10.4668153923323,44.6636534192653],[10.4660610728205,44.6638324103359],[10.4657286608322,44.6630738291325],[10.4652044726969,44.6632741286633],[10.4648635373243,44.6625496409964]]]]}|http://swamp-project.org/cbec/canal_CE231|http://swamp-project.org/cbec/crop_49|http://swamp-project.org/cbec/farmer_23662|PRATO STABILE
http://swamp-project.org/cbec/field_33779|{"type":"MultiPolygon","coordinates":[[[[10.4622766901852,44.6635937555753],[10.4642583770381,44.6630397355946],[10.4640623391988,44.6627371554514],[10.4635424127555,44.6611006656627],[10.4626772892477,44.6612199930432],[10.4617141468202,44.6612285164276],[10.4622766901852,44.6635937555753]]]]}|http://swamp-project.org/cbec/canal_CE229|http://swamp-project.org/cbec/crop_49|http://swamp-project.org/cbec/farmer_90744313|PRATO STABILE
http://swamp-project.org/cbec/field_25919|{"type":"MultiPolygon","coordinates":[[[[10.5756322792986,44.8091333735035],[10.5772832710928,44.808805060524],[10.5772864256666,44.808805016955],[10.5768472405355,44.8076271821148],[10.5760783348294,44.8076670005796],[10.5761298979639,44.8079381141547],[10.576130535176,44.8080773876893],[10.5759932286137,44.8082500157829],[10.5757383218306,44.8082759981167],[10.575628572427,44.8079540179304],[10.575753958766,44.8079230835642],[10.5757335393717,44.8077526321261],[10.5752282899893,44.8078562013646],[10.5756322792986,44.8091333735035]]]]}|http://swamp-project.org/cbec/canal_BBE605|http://swamp-project.org/cbec/crop_49|http://swamp-project.org/cbec/farmer_90731165|PRATO STABILE
http://swamp-project.org/cbec/field_25910|{"type":"MultiPolygon","coordinates":[[[[10.5826875248838,44.8138826124976],[10.5844323069555,44.8132878109894],[10.5837333708277,44.8121967270819],[10.5826562441749,44.8125081958225],[10.5823073469198,44.8119828593963],[10.5816064546795,44.8122037382168],[10.5816067001941,44.812212720767],[10.5826875248838,44.8138826124976]]]]}|http://swamp-project.org/cbec/canal_BBE397|http://swamp-project.org/cbec/crop_49|http://swamp-project.org/cbec/farmer_90716967|PRATO STABILE
http://swamp-project.org/cbec/field_23954|{"type":"MultiPolygon","coordinates":[[[[10.7023035908818,44.6647506601434],[10.7008814062362,44.6649834035862],[10.7009182822037,44.665093113707],[10.7011327865433,44.6657412571776],[10.7011539625748,44.6657376829239],[10.7011871979491,44.665847528196],[10.7018501368362,44.6657448556356],[10.7026234158619,44.6656250863488],[10.702579238482,44.6655035126764],[10.7023035908818,44.6647506601434]]]]}|http://swamp-project.org/cbec/canal_I7032|http://swamp-project.org/cbec/crop_49|http://swamp-project.org/cbec/farmer_151579|PRATO STABILE
http://swamp-project.org/cbec/field_6937|{"type":"MultiPolygon","coordinates":[[[[10.6651381584244,44.648114322463],[10.6655964491261,44.6488253174904],[10.6662209020927,44.6497935925112],[10.6665121398537,44.6502572802622],[10.6669262247843,44.6501141864917],[10.6671047877861,44.6500531013077],[10.6661994518146,44.648627743868],[10.6655970568494,44.6476921221168],[10.6651381584244,44.648114322463]]],[[[10.669060039183,44.6476564262786],[10.6696539801922,44.6486075626871],[10.6696641414252,44.6486119447756],[10.670607099774,44.6482365149444],[10.6700061182529,44.647382357222],[10.6693702459815,44.6464880700289],[10.6689356536942,44.645875777476],[10.6683618398586,44.6462763646838],[10.6684954887306,44.6463949098762],[10.6686455977746,44.6463295348406],[10.6689936664467,44.6466833401868],[10.6684707423613,44.6468851678323],[10.6685180860071,44.6468686333872],[10.6690536503548,44.6476814883195],[10.669060039183,44.6476564262786]]]]}|http://swamp-project.org/cbec/canal_I7017|http://swamp-project.org/cbec/crop_49|http://swamp-project.org/cbec/farmer_76719|PRATO STABILE
http://swamp-project.org/cbec/field_1271|{"type":"MultiPolygon","coordinates":[[[[10.6635042144272,44.7701353815392],[10.6614164832586,44.7700800396465],[10.6615734417237,44.7713566281211],[10.6625035655424,44.7712645011982],[10.6627615657672,44.7711678659476],[10.6630261063786,44.7709496777468],[10.6635042144272,44.7701353815392]]]]}|http://swamp-project.org/cbec/canal_I3010|http://swamp-project.org/cbec/crop_49|http://swamp-project.org/cbec/farmer_90124|PRATO STABILE
http://swamp-project.org/cbec/field_4553|{"type":"MultiPolygon","coordinates":[[[[10.6836072786096,44.6368689510425],[10.6834064437552,44.6366596830306],[10.6832803889442,44.6365746961505],[10.6832810138005,44.6365352569714],[10.683054725849,44.6363870568428],[10.6829116190512,44.6361539633397],[10.6825650927011,44.6357532197255],[10.6821441464716,44.6352878726142],[10.6820570070482,44.6352208738405],[10.6820475844438,44.6351631099725],[10.6819855179407,44.6350846150285],[10.6816736756406,44.6351164484077],[10.6814635205121,44.6351868889136],[10.6812303215427,44.6352688130988],[10.682453856516,44.6366298708415],[10.6822536249482,44.636713588982],[10.6829100410775,44.6373071421136],[10.6836072786096,44.6368689510425]]]]}|http://swamp-project.org/cbec/canal_I7025|http://swamp-project.org/cbec/crop_49|http://swamp-project.org/cbec/farmer_83923|PRATO STABILE
http://swamp-project.org/cbec/field_34807|{"type":"MultiPolygon","coordinates":[[[[10.599169442652,44.854928029699],[10.5989024712798,44.8540751091474],[10.5987378353234,44.8539886411457],[10.5985827519064,44.8540218826434],[10.5983194972842,44.8535284389735],[10.5984238191276,44.8534648378076],[10.5988925502237,44.8539420886572],[10.5996700370015,44.8547523501349],[10.599169442652,44.854928029699]]]]}|http://swamp-project.org/cbec/canal_BBE182|http://swamp-project.org/cbec/crop_49|http://swamp-project.org/cbec/farmer_90706777|PRATO STABILE
http://swamp-project.org/cbec/field_25099|{"type":"MultiPolygon","coordinates":[[[[10.5167320301211,44.7017474338105],[10.5180370256069,44.701359854422],[10.5174339617244,44.7001337321903],[10.5169776646078,44.7002200128268],[10.5169275429511,44.70028855608],[10.5168408927709,44.7002835362713],[10.516587336767,44.7001820019707],[10.5162624976134,44.700001194626],[10.5161321206017,44.6999782427548],[10.5159889530454,44.7001282396532],[10.5158858101702,44.7001542914587],[10.5159777720191,44.7003628740323],[10.5160426608404,44.7005286211276],[10.5161700247588,44.7007675869974],[10.5164835279053,44.7011768603537],[10.51656507313,44.70131770323],[10.5167320301211,44.7017474338105]]]]}|http://swamp-project.org/cbec/canal_CE205|http://swamp-project.org/cbec/crop_49|http://swamp-project.org/cbec/farmer_90759803|PRATO STABILE
http://swamp-project.org/cbec/field_25090|{"type":"MultiPolygon","coordinates":[[[[10.5162077065532,44.6998908497374],[10.5165067592932,44.7000781703337],[10.5168219843741,44.7002220805691],[10.5171392551843,44.7001129647431],[10.5174925703976,44.7000589052615],[10.5177337719697,44.7000186760184],[10.5188009094846,44.6998008569746],[10.5189384843881,44.6997681739146],[10.5190776720726,44.699797176073],[10.5189963449183,44.6999957196532],[10.5191523469952,44.7000059860307],[10.5194790676144,44.6999275914161],[10.5197132319374,44.6999491584511],[10.5203519552621,44.699891291939],[10.5206964555795,44.6998311692003],[10.5206049621444,44.6996410962303],[10.5203498814839,44.699150837488],[10.5199033395472,44.6982867145409],[10.5197571200975,44.698319513804],[10.5200155811081,44.6989393133245],[10.5194393447481,44.699070394848],[10.5191978638907,44.6984380267934],[10.5182873960345,44.6986907910172],[10.5162077065532,44.6998908497374]]]]}|http://swamp-project.org/cbec/canal_CE182|http://swamp-project.org/cbec/crop_49|http://swamp-project.org/cbec/farmer_247200|PRATO STABILE
http://swamp-project.org/cbec/field_26837|{"type":"MultiPolygon","coordinates":[[[[10.5922479868557,44.8088085662162],[10.5927921814447,44.8086302443428],[10.5927342872637,44.8085906149948],[10.59191416679,44.8069980568398],[10.5913496993994,44.8071272343003],[10.5913499463826,44.8071362168162],[10.5922479868557,44.8088085662162]]]]}|http://swamp-project.org/cbec/canal_BBE527|http://swamp-project.org/cbec/crop_49|http://swamp-project.org/cbec/farmer_90717396|PRATO STABILE
