timestamp,value
2021-07-26T11:32:23.513Z,764
2021-07-26T12:32:16.912Z,765
2021-07-26T13:32:17.167Z,764
2021-07-26T14:32:16.673Z,762
2021-07-26T15:32:15.595Z,765
2021-07-26T16:32:01.261Z,761
2021-07-26T17:32:00.986Z,763
2021-07-26T18:32:01.499Z,759
2021-07-26T19:32:01.260Z,763
2021-07-26T20:32:01.137Z,763
2021-07-26T21:32:00.586Z,764
2021-07-26T22:32:00.516Z,764
2021-07-26T23:32:01.610Z,765
2021-07-27T00:32:00.483Z,763
2021-07-27T01:32:00.066Z,764
2021-07-27T02:32:00.462Z,763
2021-07-27T03:32:00.457Z,764
2021-07-27T04:32:00.324Z,765
2021-07-27T05:32:00.081Z,761
2021-07-27T06:31:59.851Z,758
2021-07-27T07:32:19.759Z,756
2021-07-27T08:32:15.004Z,757
2021-07-27T09:31:59.669Z,760
2021-07-27T10:31:59.286Z,756
2021-07-27T11:31:59.335Z,756
2021-07-27T12:31:59.057Z,755
2021-07-27T13:31:58.766Z,757
2021-07-27T14:31:58.557Z,755
2021-07-27T15:31:58.635Z,757
2021-07-27T16:31:58.734Z,754
2021-07-27T17:31:58.676Z,754
2021-07-27T18:31:58.132Z,755
2021-07-27T19:31:58.255Z,758
2021-07-27T20:31:58.014Z,754
2021-07-27T21:31:57.900Z,756
2021-07-27T22:31:57.994Z,753
2021-07-27T23:31:57.523Z,758
2021-07-28T00:31:58.560Z,754
2021-07-28T01:31:57.588Z,754
2021-07-28T02:31:57.858Z,754
2021-07-28T03:31:57.206Z,753
2021-07-28T04:31:57.078Z,754
2021-07-28T05:31:57.231Z,751
2021-07-28T06:31:56.950Z,748
2021-07-28T07:31:56.746Z,754
2021-07-28T08:31:57.218Z,754
2021-07-28T09:31:56.796Z,752
2021-07-28T10:31:56.656Z,752
2021-07-28T11:31:56.469Z,751
2021-07-28T12:31:56.420Z,747
2021-07-28T13:31:56.197Z,747
2021-07-28T14:31:56.240Z,746
2021-07-28T15:31:56.093Z,746
2021-07-28T16:31:55.900Z,748
2021-07-28T17:31:55.628Z,744
2021-07-28T18:31:55.803Z,746
2021-07-28T19:31:55.451Z,746
2021-07-28T20:31:55.406Z,748
2021-07-28T21:31:55.483Z,748
2021-07-28T22:31:55.232Z,746
2021-07-29T00:31:55.173Z,748
2021-07-29T01:31:54.686Z,750
2021-07-29T02:31:54.993Z,748
2021-07-29T03:31:54.771Z,747
2021-07-29T04:31:54.557Z,747
2021-07-29T05:31:54.838Z,748
2021-07-29T06:31:54.826Z,747
2021-07-29T07:31:54.255Z,744
2021-07-29T08:31:54.504Z,750
2021-07-29T09:31:54Z,743
2021-07-29T10:31:54.039Z,744
2021-07-29T11:31:53.469Z,744
2021-07-29T12:31:54.076Z,742
2021-07-29T13:31:53.588Z,742
2021-07-29T14:31:53.536Z,739
2021-07-29T15:31:52.979Z,740
2021-07-29T16:31:53.205Z,742
2021-07-29T17:31:53.084Z,741
2021-07-29T18:31:53.268Z,739
2021-07-29T19:31:52.647Z,740
2021-07-29T20:31:52.519Z,742
2021-07-29T21:31:52.731Z,739
2021-07-29T22:31:52.165Z,744
2021-07-29T23:31:52.252Z,744
2021-07-30T00:31:52.378Z,740
2021-07-30T01:31:52.533Z,741
2021-07-30T02:31:51.734Z,741
2021-07-30T03:31:51.717Z,737
2021-07-30T04:31:51.795Z,739
2021-07-30T05:31:51.787Z,739
2021-07-30T06:31:51.706Z,735
2021-07-30T07:31:51.491Z,734
2021-07-30T08:31:51.820Z,738
2021-07-30T09:31:51.138Z,737
2021-07-30T10:31:51.189Z,738
2021-07-30T11:31:50.930Z,736
2021-07-30T12:31:50.603Z,730
2021-07-30T13:31:50.793Z,730
2021-07-30T14:31:50.521Z,728
2021-07-30T15:31:50.205Z,730
2021-07-30T16:31:50.429Z,731
2021-07-30T17:31:50.315Z,729
2021-07-30T18:31:50.241Z,731
2021-07-30T19:31:49.759Z,730
2021-07-30T20:31:49.516Z,734
2021-07-30T21:31:49.402Z,733
2021-07-30T22:31:49.590Z,735
2021-07-30T23:31:49.571Z,732
2021-07-31T00:31:50.064Z,731
2021-07-31T01:31:49.080Z,732
2021-07-31T02:31:49.103Z,731
2021-07-31T03:31:49.160Z,732
2021-07-31T04:31:48.763Z,729
2021-07-31T05:32:03.600Z,729
2021-07-31T06:32:10.449Z,728
2021-07-31T07:31:48.574Z,731
2021-07-31T08:31:48.208Z,728
2021-07-31T09:31:48.387Z,729
2021-07-31T10:31:48.407Z,731
2021-07-31T11:31:47.813Z,729
2021-07-31T12:31:48.223Z,727
2021-07-31T13:31:48.099Z,724
